Defendant,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20
22,Confident,Completely confident,Confident,Completely guessing,Completely confident,Confident,Confident,Confident,Guessing,Confident,Confident,Neither,Completely confident,Confident,Confident,Completely confident,Guessing,Confident,Confident,Confident
42,Guessing,Completely confident,Confident,Neither,Confident,Confident,Confident,Completely confident,Guessing,Confident,Confident,Confident,Confident,Confident,Neither,Completely confident,Completely guessing,Confident,Neither,Guessing
115,Confident,Completely confident,Guessing,Completely confident,Confident,Neither,Confident,Neither,Guessing,Confident,Confident,Neither,Neither,Confident,Confident,Confident,Completely guessing,Confident,Neither,Guessing
154,Neither,Completely confident,Guessing,Completely guessing,Completely guessing,Neither,Confident,Guessing,Guessing,Neither,Confident,Neither,Confident,Confident,Guessing,Confident,Guessing,Confident,Confident,Confident
173,Confident,Completely confident,Confident,Guessing,Completely confident,Confident,Confident,Confident,Neither,Completely confident,Confident,Confident,Completely confident,Confident,Neither,Confident,Confident,Confident,Completely confident,Confident
222,Confident,Completely confident,Neither,Completely confident,Neither,Neither,Confident,Completely confident,Confident,Confident,Completely confident,Completely confident,Completely confident,Confident,Confident,Confident,Confident,Confident,Neither,Guessing
266,Completely guessing,Completely confident,Guessing,Confident,Confident,Confident,Completely confident,Confident,Guessing,Confident,Neither,Guessing,Neither,Confident,Confident,Completely confident,Neither,Confident,Neither,Completely guessing
480,Confident,Completely confident,Confident,Guessing,Guessing,Neither,Confident,Confident,Guessing,Neither,Confident,Guessing,Neither,Confident,Confident,Completely confident,Confident,Confident,Neither,Completely guessing
622,Completely confident,Completely confident,Confident,Completely confident,Completely confident,Confident,Confident,Completely confident,Confident,Neither,Confident,Confident,Completely confident,Completely confident,Confident,Confident,Confident,Confident,Confident,Neither
646,Confident,Completely confident,Confident,Completely confident,Confident,Confident,Completely confident,Completely confident,Confident,Confident,Confident,Confident,Confident,Neither,Confident,Completely confident,Neither,Confident,Neither,Confident
654,Completely guessing,Completely confident,Completely guessing,Completely confident,Neither,Confident,Confident,Neither,Guessing,Confident,Confident,Neither,Confident,Confident,Neither,Completely confident,Confident,Confident,Confident,Completely confident
726,Completely confident,Confident,Completely guessing,Confident,Confident,Confident,Confident,Confident,Guessing,Confident,Confident,Guessing,Confident,Confident,Confident,Completely confident,Neither,Confident,Confident,Guessing
763,Confident,Completely confident,Completely confident,Guessing,Completely confident,Confident,Completely confident,Completely confident,Confident,Confident,Completely confident,Confident,Completely confident,Neither,Confident,Completely confident,Confident,Confident,Completely confident,Completely confident
765,Guessing,Completely confident,Confident,Guessing,Completely confident,Completely confident,Completely confident,Confident,Completely confident,Completely confident,Confident,Confident,Completely confident,Confident,Confident,Completely confident,Neither,Completely confident,Completely confident,Guessing
