Defendant,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20
22,Neither,Likely,Likely,Likely,Extremely likely,Likely,Likely,Likely,Neither,Likely,Likely,Neither,Extremely likely,Neither,Likely,Extremely likely,Likely,Likely,Likely,Likely
42,Likely,Likely,Extremely likely,Neither,Extremely likely,Likely,Likely,Extremely likely,Neither,Extremely likely,Likely,Likely,Likely,Neither,Likely,Unlikely,Likely,Likely,Likely,Neither
115,Neither,Extremely likely,Neither,Unlikely,Likely,Neither,Unlikely,Neither,Neither,Likely,Likely,Likely,Neither,Unlikely,Unlikely,Likely,Unlikely,Likely,Neither,Neither
154,Neither,Extremely unlikely,Neither,Unlikely,Neither,Unlikely,Unlikely,Neither,Neither,Unlikely,Unlikely,Neither,Unlikely,Unlikely,Unlikely,Extremely unlikely,Likely,Likely,Neither,Extremely unlikely
173,Neither,Likely,Extremely likely,Likely,Extremely likely,Likely,Likely,Likely,Likely,Extremely likely,Likely,Likely,Extremely likely,Extremely likely,Likely,Likely,Likely,Extremely likely,Extremely likely,Likely
222,Neither,Extremely unlikely,Neither,Extremely unlikely,Unlikely,Neither,Unlikely,Unlikely,Unlikely,Unlikely,Unlikely,Unlikely,Extremely unlikely,Unlikely,Unlikely,Extremely unlikely,Unlikely,Unlikely,Unlikely,Neither
266,Neither,Likely,Neither,Extremely unlikely,Likely,Unlikely,Neither,Likely,Neither,Likely,Likely,Unlikely,Neither,Unlikely,Unlikely,Extremely likely,Unlikely,Likely,Likely,Neither
480,Unlikely,Extremely unlikely,Neither,Likely,Unlikely,Unlikely,Unlikely,Neither,Neither,Neither,Unlikely,Neither,Neither,Unlikely,Unlikely,Extremely likely,Likely,Likely,Likely,Likely
622,Unlikely,Extremely unlikely,Unlikely,Extremely unlikely,Extremely unlikely,Unlikely,Unlikely,Unlikely,Unlikely,Neither,Unlikely,Unlikely,Extremely unlikely,Extremely unlikely,Unlikely,Extremely unlikely,Unlikely,Unlikely,Unlikely,Neither
646,Extremely unlikely,Unlikely,Likely,Extremely unlikely,Unlikely,Unlikely,Unlikely,Neither,Unlikely,Likely,Unlikely,Unlikely,Unlikely,Unlikely,Unlikely,Extremely unlikely,Unlikely,Likely,Neither,Likely
654,Neither,Extremely unlikely,Neither,Extremely unlikely,Neither,Unlikely,Unlikely,Neither,Neither,Unlikely,Unlikely,Neither,Unlikely,Extremely unlikely,Unlikely,Extremely likely,Unlikely,Likely,Unlikely,Extremely unlikely
726,Neither,Likely,Likely,Neither,Likely,Neither,Likely,Likely,Neither,Likely,Unlikely,Likely,Likely,Likely,Likely,Extremely likely,Likely,Extremely likely,Likely,Neither
763,Neither,Extremely likely,Extremely likely,Likely,Extremely likely,Extremely likely,Extremely likely,Extremely likely,Likely,Extremely likely,Extremely likely,Extremely likely,Extremely likely,Likely,Extremely likely,Extremely likely,Extremely likely,Extremely likely,Likely,Extremely likely
765,Likely,Extremely likely,Extremely likely,Likely,Extremely likely,Extremely likely,Extremely likely,Extremely likely,Extremely likely,Extremely likely,Extremely likely,Likely,Extremely likely,Likely,Likely,Extremely likely,Extremely likely,Extremely likely,Extremely likely,Neither
844,Neither,Extremely likely,Extremely likely,Neither,Likely,Likely,Likely,Extremely likely,Likely,Likely,Likely,Neither,Likely,Likely,Likely,Extremely likely,Unlikely,Likely,Likely,Neither
1024,Neither,Extremely unlikely,Likely,Unlikely,Neither,Unlikely,Unlikely,Unlikely,Unlikely,Likely,Likely,Neither,Unlikely,Extremely unlikely,Likely,Extremely likely,Unlikely,Likely,Neither,Unlikely
1103,Neither,Extremely unlikely,Unlikely,Neither,Extremely unlikely,Unlikely,Unlikely,Neither,Unlikely,Neither,Unlikely,Neither,Unlikely,Unlikely,Unlikely,Extremely likely,Likely,Likely,Neither,Neither
1215,Extremely unlikely,Extremely unlikely,Unlikely,Extremely unlikely,Extremely unlikely,Extremely unlikely,Extremely unlikely,Unlikely,Unlikely,Unlikely,Extremely unlikely,Extremely unlikely,Extremely unlikely,Unlikely,Likely,Extremely unlikely,Unlikely,Unlikely,Unlikely,Extremely unlikely
1240,Likely,Extremely likely,Extremely likely,Likely,Extremely likely,Likely,Extremely likely,Extremely likely,Likely,Extremely likely,Extremely likely,Extremely likely,Extremely likely,Extremely likely,Unlikely,Extremely likely,Extremely likely,Extremely likely,Extremely likely,Likely
1283,Likely,Unlikely,Neither,Likely,Likely,Likely,Neither,Neither,Neither,Likely,Likely,Likely,Neither,Unlikely,Unlikely,Extremely likely,Likely,Extremely likely,Likely,Neither
1314,Extremely likely,Extremely likely,Extremely likely,Extremely likely,Extremely likely,Extremely likely,Extremely likely,Extremely likely,Extremely likely,Extremely likely,Extremely likely,Extremely likely,Extremely likely,Extremely likely,Extremely likely,Extremely likely,Extremely likely,Extremely likely,Extremely likely,Extremely likely
1385,Neither,Likely,Likely,Neither,Extremely likely,Likely,Likely,Likely,Likely,Likely,Likely,Likely,Extremely likely,Likely,Unlikely,Extremely likely,Likely,Likely,Likely,Likely
1430,Unlikely,Extremely unlikely,Unlikely,Extremely unlikely,Unlikely,Unlikely,Unlikely,Unlikely,Unlikely,Unlikely,Unlikely,Unlikely,Extremely unlikely,Unlikely,Extremely unlikely,Extremely unlikely,Unlikely,Unlikely,Neither,Unlikely
1441,Unlikely,Unlikely,Neither,Unlikely,Likely,Unlikely,Unlikely,Neither,Neither,Likely,Unlikely,Neither,Unlikely,Unlikely,Unlikely,Likely,Unlikely,Likely,Neither,Neither
1490,Neither,Likely,Extremely likely,Neither,Extremely likely,Likely,Likely,Likely,Likely,Extremely likely,Likely,Likely,Likely,Likely,Likely,Extremely likely,Likely,Likely,Likely,Likely
1522,Neither,Likely,Likely,Neither,Likely,Likely,Unlikely,Likely,Neither,Likely,Likely,Neither,Likely,Unlikely,Neither,Extremely likely,Likely,Extremely likely,Likely,Likely
1553,Neither,Extremely unlikely,Neither,Neither,Unlikely,Unlikely,Extremely unlikely,Neither,Unlikely,Unlikely,Unlikely,Neither,Unlikely,Extremely unlikely,Unlikely,Extremely unlikely,Unlikely,Likely,Neither,Likely
1576,Likely,Extremely likely,Likely,Likely,Extremely likely,Likely,Extremely likely,Extremely likely,Neither,Extremely likely,Extremely likely,Extremely likely,Extremely likely,Extremely likely,Extremely likely,Extremely likely,Likely,Extremely likely,Extremely likely,Neither
1629,Neither,Likely,Likely,Unlikely,Likely,Likely,Neither,Likely,Neither,Likely,Likely,Likely,Likely,Extremely unlikely,Unlikely,Likely,Likely,Extremely likely,Neither,Neither
1670,Neither,Unlikely,Neither,Neither,Likely,Likely,Unlikely,Likely,Unlikely,Likely,Likely,Likely,Neither,Unlikely,Unlikely,Extremely likely,Unlikely,Likely,Likely,Likely
1787,Neither,Extremely unlikely,Likely,Neither,Unlikely,Unlikely,Unlikely,Neither,Unlikely,Unlikely,Unlikely,Neither,Neither,Unlikely,Unlikely,Likely,Likely,Likely,Unlikely,Neither
1795,Neither,Extremely unlikely,Likely,Unlikely,Neither,Unlikely,Unlikely,Neither,Unlikely,Likely,Unlikely,Neither,Neither,Unlikely,Unlikely,Unlikely,Unlikely,Likely,Neither,Neither
1841,Unlikely,Unlikely,Neither,Extremely unlikely,Neither,Unlikely,Unlikely,Neither,Unlikely,Likely,Unlikely,Unlikely,Unlikely,Unlikely,Unlikely,Extremely unlikely,Unlikely,Likely,Neither,Neither
1870,Neither,Extremely unlikely,Unlikely,Neither,Neither,Likely,Neither,Neither,Unlikely,Neither,Unlikely,Likely,Extremely unlikely,Unlikely,Unlikely,Extremely likely,Likely,Likely,Unlikely,Extremely unlikely
1904,Unlikely,Unlikely,Neither,Extremely unlikely,Unlikely,Unlikely,Unlikely,Neither,Unlikely,Likely,Unlikely,Neither,Unlikely,Unlikely,Unlikely,Likely,Unlikely,Likely,Neither,Unlikely
2020,Likely,Extremely likely,Extremely likely,Likely,Extremely likely,Likely,Unlikely,Extremely likely,Likely,Extremely likely,Extremely likely,Extremely likely,Extremely likely,Extremely likely,Likely,Extremely likely,Unlikely,Extremely likely,Extremely likely,Likely
2078,Neither,Extremely likely,Extremely likely,Unlikely,Likely,Likely,Likely,Likely,Likely,Extremely likely,Likely,Likely,Likely,Likely,Likely,Extremely likely,Likely,Likely,Likely,Likely
2128,Neither,Likely,Likely,Likely,Extremely likely,Likely,Likely,Likely,Likely,Extremely likely,Likely,Likely,Extremely likely,Likely,Likely,Extremely likely,Likely,Extremely likely,Likely,Neither
2182,Neither,Unlikely,Neither,Unlikely,Likely,Unlikely,Unlikely,Likely,Neither,Likely,Likely,Neither,Likely,Unlikely,Likely,Likely,Likely,Likely,Neither,Neither
2206,Neither,Unlikely,Likely,Extremely unlikely,Likely,Neither,Neither,Unlikely,Neither,Likely,Likely,Neither,Neither,Likely,Likely,Extremely likely,Likely,Likely,Neither,Neither
2262,Unlikely,Extremely unlikely,Unlikely,Neither,Unlikely,Neither,Unlikely,Unlikely,Unlikely,Neither,Unlikely,Unlikely,Unlikely,Unlikely,Extremely likely,Extremely likely,Unlikely,Likely,Unlikely,Neither
2278,Unlikely,Extremely unlikely,Unlikely,Extremely unlikely,Unlikely,Unlikely,Unlikely,Unlikely,Unlikely,Likely,Extremely unlikely,Extremely unlikely,Extremely unlikely,Unlikely,Unlikely,Unlikely,Unlikely,Likely,Unlikely,Unlikely
2353,Unlikely,Extremely unlikely,Unlikely,Extremely unlikely,Unlikely,Unlikely,Unlikely,Unlikely,Unlikely,Neither,Unlikely,Unlikely,Extremely unlikely,Unlikely,Unlikely,Extremely unlikely,Unlikely,Unlikely,Unlikely,Unlikely
2438,Unlikely,Extremely unlikely,Unlikely,Extremely unlikely,Extremely unlikely,Extremely unlikely,Unlikely,Unlikely,Unlikely,Extremely unlikely,Unlikely,Extremely unlikely,Extremely unlikely,Unlikely,Unlikely,Extremely unlikely,Unlikely,Unlikely,Unlikely,Unlikely
2456,Neither,Extremely likely,Extremely likely,Likely,Extremely likely,Likely,Likely,Extremely likely,Likely,Extremely likely,Extremely likely,Likely,Extremely likely,Likely,Likely,Unlikely,Extremely likely,Extremely likely,Extremely likely,Likely
2502,Unlikely,Unlikely,Neither,Extremely unlikely,Neither,Unlikely,Unlikely,Neither,Unlikely,Unlikely,Neither,Unlikely,Unlikely,Unlikely,Unlikely,Extremely unlikely,Unlikely,Unlikely,Neither,Neither
2511,Likely,Likely,Likely,Unlikely,Likely,Neither,Neither,Extremely likely,Neither,Extremely likely,Likely,Likely,Extremely likely,Unlikely,Likely,Extremely likely,Likely,Likely,Likely,Extremely unlikely
2533,Unlikely,Extremely unlikely,Neither,Neither,Likely,Unlikely,Unlikely,Unlikely,Unlikely,Unlikely,Unlikely,Neither,Unlikely,Extremely unlikely,Unlikely,Likely,Likely,Likely,Neither,Neither
2586,Neither,Likely,Likely,Unlikely,Neither,Unlikely,Neither,Likely,Neither,Likely,Unlikely,Neither,Likely,Unlikely,Unlikely,Likely,Likely,Likely,Likely,Unlikely
2632,Neither,Likely,Likely,Neither,Likely,Unlikely,Likely,Likely,Likely,Likely,Likely,Likely,Likely,Likely,Likely,Extremely likely,Unlikely,Likely,Likely,Extremely likely
2685,Neither,Extremely unlikely,Neither,Neither,Neither,Neither,Unlikely,Neither,Unlikely,Neither,Unlikely,Neither,Neither,Unlikely,Unlikely,Unlikely,Unlikely,Likely,Neither,Likely
2723,Neither,Likely,Extremely likely,Likely,Likely,Likely,Likely,Extremely likely,Neither,Likely,Likely,Extremely likely,Likely,Likely,Likely,Extremely likely,Likely,Extremely likely,Likely,Extremely likely
2790,Unlikely,Extremely unlikely,Unlikely,Extremely unlikely,Extremely unlikely,Unlikely,Unlikely,Unlikely,Unlikely,Unlikely,Extremely unlikely,Unlikely,Extremely unlikely,Unlikely,Unlikely,Likely,Unlikely,Unlikely,Unlikely,Neither
2820,Neither,Extremely unlikely,Neither,Extremely unlikely,Extremely unlikely,Extremely unlikely,Unlikely,Extremely unlikely,Unlikely,Unlikely,Unlikely,Extremely unlikely,Extremely unlikely,Unlikely,Likely,Extremely unlikely,Unlikely,Unlikely,Unlikely,Unlikely
2841,Unlikely,Unlikely,Extremely likely,Likely,Likely,Likely,Likely,Likely,Neither,Likely,Likely,Extremely likely,Extremely likely,Likely,Likely,Extremely likely,Likely,Extremely likely,Likely,Neither
2898,Unlikely,Extremely unlikely,Neither,Unlikely,Unlikely,Unlikely,Unlikely,Extremely unlikely,Unlikely,Neither,Unlikely,Unlikely,Extremely unlikely,Unlikely,Unlikely,Extremely likely,Unlikely,Unlikely,Unlikely,Neither
2901,Likely,Likely,Extremely likely,Extremely likely,Extremely likely,Likely,Likely,Extremely likely,Likely,Extremely likely,Likely,Likely,Extremely likely,Extremely likely,Likely,Extremely likely,Likely,Likely,Likely,Likely
2914,Neither,Unlikely,Likely,Neither,Likely,Neither,Neither,Likely,Neither,Likely,Unlikely,Likely,Unlikely,Unlikely,Unlikely,Unlikely,Likely,Likely,Likely,Neither
2917,Neither,Likely,Likely,Neither,Extremely likely,Likely,Likely,Likely,Neither,Likely,Likely,Likely,Likely,Likely,Likely,Extremely likely,Likely,Likely,Likely,Neither
2943,Neither,Extremely unlikely,Likely,Unlikely,Unlikely,Unlikely,Neither,Neither,Unlikely,Neither,Neither,Neither,Unlikely,Unlikely,Likely,Likely,Likely,Likely,Neither,Extremely unlikely
3055,Neither,Likely,Extremely likely,Neither,Extremely likely,Likely,Likely,Extremely likely,Likely,Likely,Likely,Likely,Likely,Likely,Likely,Extremely likely,Unlikely,Likely,Likely,Likely
3110,Unlikely,Extremely unlikely,Neither,Neither,Neither,Unlikely,Unlikely,Unlikely,Unlikely,Neither,Unlikely,Unlikely,Neither,Unlikely,Unlikely,Likely,Unlikely,Likely,Unlikely,Unlikely
3145,Neither,Extremely likely,Extremely likely,Likely,Extremely likely,Likely,Likely,Extremely likely,Likely,Likely,Extremely likely,Likely,Extremely likely,Likely,Likely,Extremely likely,Likely,Extremely likely,Extremely likely,Likely
3146,Unlikely,Extremely unlikely,Neither,Extremely unlikely,Unlikely,Neither,Unlikely,Neither,Unlikely,Neither,Extremely unlikely,Unlikely,Unlikely,Unlikely,Unlikely,Extremely unlikely,Unlikely,Likely,Unlikely,Unlikely
3229,Neither,Likely,Likely,Neither,Likely,Likely,Neither,Likely,Neither,Likely,Likely,Neither,Likely,Likely,Likely,Likely,Likely,Likely,Neither,Neither
3255,Unlikely,Likely,Likely,Unlikely,Likely,Unlikely,Likely,Likely,Neither,Likely,Likely,Extremely likely,Likely,Likely,Likely,Extremely unlikely,Extremely likely,Likely,Neither,Extremely likely
